/begin_header 
/IOPs FlowThrough System onboard R/V Gaia Blu 
/DATE  = YYYYMMDD 
/TIME  = decimal hours [hh.decimals] 
/LAT   = degrees north [deg.decimals] 
/LON   = degrees east [deg.decimals] 
/FLOWIN = intake seawater flow (L/min) 
/FLOWOUT = outtake seawater flow (L/min) 
/TEMP1 = Seawater temperature laboratory  (Celsius degrees) [from TS sensor] 
/TEMP2 = Seawater temperature environment (Celsius degrees) [from TS sensor] 
/SAL = Seawater salinity ACS intake (psu) 
/C_???.? = Attenuation coefficient at lambda ???.?nm 
/A_???.? = Absorption  coefficient at lambda ???.?nm 
/INT_TEMP = ACs internal temperature (Celsius degrees) 
/EXT_TEMP = ACs external temperature (Celsius degrees) 
/TOT_DIS = Flag for acquisition mode (0 = total, 1 = dissolved) 
/end_header@
DATE,TIME,GPS_TIME,LAT,LON,FLOWIN,FLOWOUT,TEMP1,TEMP2,SAL,C_400.5,C_402.6,C_404.8,C_406.8,C_408.5,C_410.9,C_413.7,C_417.4,C_422.4,C_427.2,C_432.0,C_435.9,C_440.0,C_443.7,C_448.1,C_452.2,C_456.6,C_460.4,C_464.8,C_469.1,C_474.1,C_478.7,C_483.6,C_487.8,C_492.3,C_496.5,C_500.8,C_505.7,C_510.0,C_515.2,C_519.6,C_524.4,C_528.4,C_532.7,C_536.5,C_541.1,C_545.1,C_549.7,C_553.8,C_558.7,C_562.8,C_567.3,C_571.3,C_575.6,C_579.7,C_583.9,C_588.1,C_592.5,C_597.1,C_601.8,C_606.1,C_611.2,C_615.5,C_620.4,C_624.4,C_629.0,C_632.9,C_637.5,C_641.5,C_646.1,C_650.6,C_654.9,C_659.5,C_663.7,C_668.0,C_672.4,C_676.3,C_680.6,C_684.3,C_688.2,C_691.8,C_695.7,C_699.2,C_702.9,C_706.3,C_710.4,C_713.7,C_717.7,C_720.6,C_724.0,C_728.0,C_731.1,C_734.6,C_738.0,C_740.7,A_401.4,A_403.5,A_405.7,A_407.6,A_409.6,A_412.1,A_415.3,A_419.4,A_424.6,A_429.5,A_433.8,A_437.7,A_441.6,A_445.3,A_449.7,A_453.9,A_458.2,A_462.2,A_466.2,A_471.0,A_475.7,A_480.3,A_485.0,A_489.4,A_493.5,A_497.9,A_502.4,A_506.9,A_511.6,A_516.3,A_521.0,A_525.3,A_529.4,A_533.5,A_537.7,A_542.0,A_546.1,A_550.7,A_554.8,A_559.6,A_563.7,A_568.3,A_569.3,A_573.4,A_577.5,A_581.7,A_585.6,A_590.1,A_594.4,A_599.1,A_603.3,A_608.2,A_612.3,A_617.4,A_621.5,A_626.0,A_630.0,A_634.7,A_638.7,A_643.1,A_647.3,A_652.2,A_656.2,A_660.9,A_665.0,A_669.3,A_673.4,A_677.8,A_681.4,A_685.6,A_689.2,A_692.9,A_696.5,A_700.4,A_703.8,A_707.8,A_711.2,A_714.5,A_717.9,A_721.7,A_724.5,A_728.6,A_731.8,A_735.4,A_738.3,INT_TEMP,EXT_TEMP,TOT_DIS
20250723,18.169444,2025-07-23T18:10:30,44.032275,10.036428,0.000000,0.000000,26.116900,26.788400,0.539700,0.777307,0.762218,0.759595,0.755430,0.739433,0.728495,0.712164,0.700111,0.682406,0.666654,0.652860,0.641758,0.628906,0.619476,0.610184,0.599763,0.591430,0.581438,0.572723,0.563179,0.554536,0.546758,0.538722,0.530729,0.523515,0.515841,0.508212,0.501751,0.494215,0.486278,0.480876,0.474461,0.467102,0.461349,0.454602,0.448970,0.442891,0.437790,0.433133,0.427067,0.422604,0.418591,0.413482,0.408510,0.404665,0.400143,0.396196,0.391994,0.387475,0.384440,0.381312,0.376973,0.373562,0.369861,0.365964,0.361655,0.357983,0.354944,0.350629,0.347497,0.343731,0.340546,0.338184,0.334966,0.332190,0.330571,0.324665,0.322636,0.317752,0.315230,0.313457,0.307583,0.305454,0.304175,0.299303,0.299667,0.297858,0.294465,0.300493,0.296123,0.297206,0.304400,0.301501,0.305009,0.314095,7.568626,7.619968,7.719472,7.829146,7.923769,7.984609,7.967548,7.857310,7.694245,7.532694,7.402335,7.336147,7.323156,7.320140,7.321699,7.324087,7.317943,7.309303,7.286041,7.254392,7.230539,7.195747,7.157854,7.125234,7.088255,7.048958,7.011260,6.968309,6.932269,6.892849,6.867239,6.842378,6.818298,6.798907,6.780467,6.766324,6.744417,6.726380,6.711269,6.688127,6.669578,6.646145,6.587110,6.565786,6.538152,6.513306,6.489084,6.470678,6.446188,6.423587,6.406837,6.396007,6.378416,6.364663,6.357670,6.354537,6.352164,6.349729,6.343845,6.332276,6.324922,6.317047,6.309005,6.292983,6.291694,6.292393,6.284297,6.274335,6.268782,6.258818,6.239849,6.234140,6.211854,6.186180,6.172459,6.151691,6.128526,6.086000,6.044770,6.011205,5.975687,5.924572,5.893439,5.814670,5.784326,25.162619,26.735313,0
20250723,18.169444,2025-07-23T18:10:30,44.032275,10.036428,0.000000,0.000000,26.116900,26.788400,0.539700,0.777307,0.762218,0.759595,0.755430,0.739433,0.728495,0.712164,0.700111,0.682406,0.666654,0.652860,0.641758,0.628906,0.619476,0.610184,0.599763,0.591430,0.581438,0.572723,0.563179,0.554536,0.546758,0.538722,0.530729,0.523515,0.515841,0.508212,0.501751,0.494215,0.486278,0.480876,0.474461,0.467102,0.461349,0.454602,0.448970,0.442891,0.437790,0.433133,0.427067,0.422604,0.418591,0.413482,0.408510,0.404665,0.400143,0.396196,0.391994,0.387475,0.384440,0.381312,0.376973,0.373562,0.369861,0.365964,0.361655,0.357983,0.354944,0.350629,0.347497,0.343731,0.340546,0.338184,0.334966,0.332190,0.330571,0.324665,0.322636,0.317752,0.315230,0.313457,0.307583,0.305454,0.304175,0.299303,0.299667,0.297858,0.294465,0.300493,0.296123,0.297206,0.304400,0.301501,0.305009,0.314095,7.568626,7.619968,7.719472,7.829146,7.923769,7.984609,7.967548,7.857310,7.694245,7.532694,7.402335,7.336147,7.323156,7.320140,7.321699,7.324087,7.317943,7.309303,7.286041,7.254392,7.230539,7.195747,7.157854,7.125234,7.088255,7.048958,7.011260,6.968309,6.932269,6.892849,6.867239,6.842378,6.818298,6.798907,6.780467,6.766324,6.744417,6.726380,6.711269,6.688127,6.669578,6.646145,6.587110,6.565786,6.538152,6.513306,6.489084,6.470678,6.446188,6.423587,6.406837,6.396007,6.378416,6.364663,6.357670,6.354537,6.352164,6.349729,6.343845,6.332276,6.324922,6.317047,6.309005,6.292983,6.291694,6.292393,6.284297,6.274335,6.268782,6.258818,6.239849,6.234140,6.211854,6.186180,6.172459,6.151691,6.128526,6.086000,6.044770,6.011205,5.975687,5.924572,5.893439,5.814670,5.784326,25.162619,26.735313,0
20250723,18.170556,2025-07-23T18:10:34,44.032275,10.036429,0.000000,0.000000,26.117100,26.788500,0.541300,0.767802,0.765456,0.760387,0.752564,0.740660,0.727976,0.712743,0.696943,0.683772,0.666555,0.652073,0.639409,0.629684,0.618913,0.609867,0.599713,0.590777,0.581396,0.571375,0.563673,0.554166,0.545820,0.538549,0.530338,0.522743,0.515449,0.507649,0.500638,0.493787,0.486301,0.479583,0.474068,0.466644,0.460695,0.454141,0.448605,0.442814,0.437368,0.433129,0.426660,0.422319,0.418050,0.412261,0.408118,0.403558,0.399655,0.395164,0.391290,0.387156,0.383624,0.380970,0.377088,0.373288,0.369410,0.365577,0.361327,0.357622,0.354495,0.349319,0.347153,0.342869,0.339820,0.337844,0.334222,0.332228,0.328983,0.324823,0.322085,0.317933,0.314739,0.313407,0.307406,0.304790,0.303465,0.299300,0.298862,0.297438,0.296055,0.297673,0.297392,0.296052,0.299682,0.304341,0.304780,0.310836,7.373526,7.421632,7.534594,7.640452,7.741198,7.796410,7.772280,7.675089,7.514388,7.344193,7.228574,7.166536,7.151156,7.153595,7.152817,7.156654,7.147962,7.131268,7.115305,7.086311,7.060135,7.028200,6.992299,6.960012,6.928098,6.883276,6.847022,6.807360,6.771188,6.732678,6.707816,6.686299,6.666184,6.646924,6.629176,6.615490,6.600154,6.575630,6.561424,6.539383,6.522367,6.500974,6.500324,6.476500,6.448575,6.424367,6.400215,6.380155,6.356457,6.333791,6.317558,6.304500,6.287380,6.274180,6.266058,6.264407,6.257703,6.254035,6.249961,6.238563,6.232900,6.219778,6.214512,6.197703,6.196674,6.190962,6.188786,6.175993,6.168570,6.159149,6.145258,6.138115,6.113211,6.085805,6.069053,6.055666,6.029620,5.986039,5.955125,5.915325,5.871617,5.831599,5.787096,5.732576,5.700827,25.143794,26.738430,0
20250723,18.170556,2025-07-23T18:10:34,44.032275,10.036429,0.000000,0.000000,26.117100,26.788500,0.541300,0.767802,0.765456,0.760387,0.752564,0.740660,0.727976,0.712743,0.696943,0.683772,0.666555,0.652073,0.639409,0.629684,0.618913,0.609867,0.599713,0.590777,0.581396,0.571375,0.563673,0.554166,0.545820,0.538549,0.530338,0.522743,0.515449,0.507649,0.500638,0.493787,0.486301,0.479583,0.474068,0.466644,0.460695,0.454141,0.448605,0.442814,0.437368,0.433129,0.426660,0.422319,0.418050,0.412261,0.408118,0.403558,0.399655,0.395164,0.391290,0.387156,0.383624,0.380970,0.377088,0.373288,0.369410,0.365577,0.361327,0.357622,0.354495,0.349319,0.347153,0.342869,0.339820,0.337844,0.334222,0.332228,0.328983,0.324823,0.322085,0.317933,0.314739,0.313407,0.307406,0.304790,0.303465,0.299300,0.298862,0.297438,0.296055,0.297673,0.297392,0.296052,0.299682,0.304341,0.304780,0.310836,7.373526,7.421632,7.534594,7.640452,7.741198,7.796410,7.772280,7.675089,7.514388,7.344193,7.228574,7.166536,7.151156,7.153595,7.152817,7.156654,7.147962,7.131268,7.115305,7.086311,7.060135,7.028200,6.992299,6.960012,6.928098,6.883276,6.847022,6.807360,6.771188,6.732678,6.707816,6.686299,6.666184,6.646924,6.629176,6.615490,6.600154,6.575630,6.561424,6.539383,6.522367,6.500974,6.500324,6.476500,6.448575,6.424367,6.400215,6.380155,6.356457,6.333791,6.317558,6.304500,6.287380,6.274180,6.266058,6.264407,6.257703,6.254035,6.249961,6.238563,6.232900,6.219778,6.214512,6.197703,6.196674,6.190962,6.188786,6.175993,6.168570,6.159149,6.145258,6.138115,6.113211,6.085805,6.069053,6.055666,6.029620,5.986039,5.955125,5.915325,5.871617,5.831599,5.787096,5.732576,5.700827,25.143794,26.738430,0
20250723,18.171667,2025-07-23T18:10:38,44.032275,10.036429,0.000000,0.000000,26.116100,26.787400,0.540500,0.757327,0.763435,0.763817,0.750163,0.739444,0.727349,0.713850,0.696524,0.683727,0.666255,0.653780,0.638127,0.628637,0.620502,0.608466,0.600220,0.590151,0.581694,0.571019,0.562306,0.554697,0.544914,0.538532,0.530163,0.522141,0.515649,0.508238,0.500740,0.492932,0.486640,0.479850,0.472924,0.467131,0.460173,0.454062,0.448363,0.442984,0.436604,0.432240,0.427511,0.422346,0.417038,0.412903,0.407634,0.403530,0.399170,0.394714,0.390811,0.386650,0.383371,0.380411,0.376994,0.372956,0.369290,0.365132,0.361270,0.356943,0.353984,0.349567,0.346688,0.343709,0.339413,0.337540,0.334510,0.331611,0.329147,0.324013,0.321475,0.318759,0.313475,0.312779,0.308556,0.303777,0.302752,0.300119,0.297734,0.297410,0.297079,0.297647,0.294850,0.297503,0.297185,0.304539,0.303163,0.309644,8.125441,8.215523,8.343143,8.453818,8.563655,8.617719,8.580221,8.466418,8.289214,8.104858,7.973466,7.900448,7.880264,7.873768,7.871548,7.870449,7.856416,7.838077,7.810796,7.780931,7.743776,7.709521,7.669013,7.630668,7.589292,7.542468,7.493290,7.450284,7.407115,7.359940,7.335084,7.305310,7.285208,7.261311,7.242463,7.221099,7.200435,7.179933,7.157995,7.137396,7.117469,7.094577,7.066444,7.039408,7.015618,6.987205,6.959898,6.933304,6.909211,6.883303,6.864162,6.847435,6.833542,6.815309,6.809400,6.803530,6.797580,6.791995,6.789619,6.776455,6.762709,6.753161,6.745267,6.724544,6.721927,6.722255,6.711770,6.703203,6.689166,6.681450,6.663123,6.653626,6.631672,6.610218,6.596587,6.569833,6.534274,6.503487,6.468648,6.420994,6.384736,6.348243,6.293540,6.249308,6.208371,25.141702,26.735313,0
20250723,18.171667,2025-07-23T18:10:38,44.032275,10.036429,0.000000,0.000000,26.116100,26.787400,0.540500,0.757327,0.763435,0.763817,0.750163,0.739444,0.727349,0.713850,0.696524,0.683727,0.666255,0.653780,0.638127,0.628637,0.620502,0.608466,0.600220,0.590151,0.581694,0.571019,0.562306,0.554697,0.544914,0.538532,0.530163,0.522141,0.515649,0.508238,0.500740,0.492932,0.486640,0.479850,0.472924,0.467131,0.460173,0.454062,0.448363,0.442984,0.436604,0.432240,0.427511,0.422346,0.417038,0.412903,0.407634,0.403530,0.399170,0.394714,0.390811,0.386650,0.383371,0.380411,0.376994,0.372956,0.369290,0.365132,0.361270,0.356943,0.353984,0.349567,0.346688,0.343709,0.339413,0.337540,0.334510,0.331611,0.329147,0.324013,0.321475,0.318759,0.313475,0.312779,0.308556,0.303777,0.302752,0.300119,0.297734,0.297410,0.297079,0.297647,0.294850,0.297503,0.297185,0.304539,0.303163,0.309644,8.125441,8.215523,8.343143,8.453818,8.563655,8.617719,8.580221,8.466418,8.289214,8.104858,7.973466,7.900448,7.880264,7.873768,7.871548,7.870449,7.856416,7.838077,7.810796,7.780931,7.743776,7.709521,7.669013,7.630668,7.589292,7.542468,7.493290,7.450284,7.407115,7.359940,7.335084,7.305310,7.285208,7.261311,7.242463,7.221099,7.200435,7.179933,7.157995,7.137396,7.117469,7.094577,7.066444,7.039408,7.015618,6.987205,6.959898,6.933304,6.909211,6.883303,6.864162,6.847435,6.833542,6.815309,6.809400,6.803530,6.797580,6.791995,6.789619,6.776455,6.762709,6.753161,6.745267,6.724544,6.721927,6.722255,6.711770,6.703203,6.689166,6.681450,6.663123,6.653626,6.631672,6.610218,6.596587,6.569833,6.534274,6.503487,6.468648,6.420994,6.384736,6.348243,6.293540,6.249308,6.208371,25.141702,26.735313,0
20250723,18.172778,2025-07-23T18:10:42,44.032275,10.036429,0.000000,0.000000,26.116500,26.788400,0.541100,0.772027,0.760870,0.762314,0.750776,0.740741,0.727743,0.712412,0.699090,0.682310,0.665774,0.653977,0.639160,0.627763,0.620072,0.609134,0.599415,0.590260,0.580910,0.572009,0.562635,0.553805,0.545648,0.537602,0.529768,0.521778,0.515267,0.507443,0.500480,0.492977,0.486077,0.479597,0.472996,0.466133,0.460609,0.453561,0.448218,0.441818,0.436776,0.432106,0.426112,0.422409,0.416721,0.412197,0.407700,0.403691,0.399687,0.394747,0.390428,0.387091,0.383870,0.380196,0.376325,0.372443,0.368571,0.365280,0.360525,0.357449,0.353567,0.349718,0.346189,0.342904,0.339470,0.337298,0.334750,0.331833,0.328832,0.324504,0.321014,0.317743,0.315324,0.310343,0.307687,0.304792,0.301856,0.299116,0.298097,0.296545,0.294541,0.296558,0.296886,0.294129,0.300653,0.301745,0.309051,0.313219,7.594795,7.672181,7.794369,7.921833,8.018603,8.064895,8.044045,7.942310,7.780073,7.597525,7.472956,7.414855,7.387240,7.384790,7.388148,7.382994,7.372205,7.357498,7.331393,7.299812,7.272782,7.237947,7.200538,7.164345,7.126809,7.083472,7.042883,6.995541,6.959384,6.922911,6.897495,6.871052,6.848548,6.827479,6.809725,6.794095,6.777767,6.758948,6.737620,6.718522,6.700728,6.677564,6.696172,6.672923,6.644346,6.616440,6.595904,6.574766,6.548175,6.528557,6.508831,6.492405,6.480435,6.463291,6.457538,6.454536,6.447861,6.443616,6.438566,6.427531,6.419964,6.411474,6.400587,6.383469,6.380849,6.377436,6.371004,6.364065,6.353064,6.343723,6.332295,6.319424,6.297714,6.277635,6.254950,6.235362,6.200343,6.168894,6.141280,6.088075,6.053676,6.014684,5.952279,5.909924,5.863221,25.137518,26.733754,0
20250723,18.172778,2025-07-23T18:10:42,44.032275,10.036429,0.000000,0.000000,26.116500,26.788400,0.541100,0.772027,0.760870,0.762314,0.750776,0.740741,0.727743,0.712412,0.699090,0.682310,0.665774,0.653977,0.639160,0.627763,0.620072,0.609134,0.599415,0.590260,0.580910,0.572009,0.562635,0.553805,0.545648,0.537602,0.529768,0.521778,0.515267,0.507443,0.500480,0.492977,0.486077,0.479597,0.472996,0.466133,0.460609,0.453561,0.448218,0.441818,0.436776,0.432106,0.426112,0.422409,0.416721,0.412197,0.407700,0.403691,0.399687,0.394747,0.390428,0.387091,0.383870,0.380196,0.376325,0.372443,0.368571,0.365280,0.360525,0.357449,0.353567,0.349718,0.346189,0.342904,0.339470,0.337298,0.334750,0.331833,0.328832,0.324504,0.321014,0.317743,0.315324,0.310343,0.307687,0.304792,0.301856,0.299116,0.298097,0.296545,0.294541,0.296558,0.296886,0.294129,0.300653,0.301745,0.309051,0.313219,7.594795,7.672181,7.794369,7.921833,8.018603,8.064895,8.044045,7.942310,7.780073,7.597525,7.472956,7.414855,7.387240,7.384790,7.388148,7.382994,7.372205,7.357498,7.331393,7.299812,7.272782,7.237947,7.200538,7.164345,7.126809,7.083472,7.042883,6.995541,6.959384,6.922911,6.897495,6.871052,6.848548,6.827479,6.809725,6.794095,6.777767,6.758948,6.737620,6.718522,6.700728,6.677564,6.696172,6.672923,6.644346,6.616440,6.595904,6.574766,6.548175,6.528557,6.508831,6.492405,6.480435,6.463291,6.457538,6.454536,6.447861,6.443616,6.438566,6.427531,6.419964,6.411474,6.400587,6.383469,6.380849,6.377436,6.371004,6.364065,6.353064,6.343723,6.332295,6.319424,6.297714,6.277635,6.254950,6.235362,6.200343,6.168894,6.141280,6.088075,6.053676,6.014684,5.952279,5.909924,5.863221,25.137518,26.733754,0
20250723,18.173889,2025-07-23T18:10:46,44.032275,10.036429,0.000000,0.000000,26.116300,26.788000,0.543500,0.763257,0.767779,0.757818,0.753815,0.741214,0.727741,0.711444,0.697720,0.683478,0.665844,0.651851,0.639329,0.629593,0.618001,0.609004,0.599052,0.590104,0.579937,0.571366,0.562805,0.552749,0.545466,0.537618,0.529404,0.521782,0.514487,0.507904,0.500146,0.492562,0.485637,0.478987,0.472514,0.465616,0.459840,0.453341,0.447955,0.441749,0.436553,0.431902,0.425743,0.421571,0.416596,0.411719,0.407540,0.403242,0.398848,0.394587,0.390365,0.386238,0.383588,0.380286,0.376232,0.372231,0.368332,0.365074,0.360383,0.357005,0.353301,0.348930,0.346135,0.342370,0.339215,0.336654,0.333730,0.331833,0.329078,0.323536,0.320969,0.317440,0.313134,0.312367,0.306873,0.303473,0.302618,0.297937,0.299017,0.294315,0.295510,0.297660,0.296035,0.293876,0.299955,0.300049,0.310380,0.308454,7.360668,7.465360,7.584449,7.681403,7.782765,7.845891,7.820150,7.714809,7.554049,7.383614,7.260154,7.209871,7.182077,7.180209,7.180684,7.185184,7.174572,7.156965,7.139446,7.112384,7.081103,7.052718,7.016697,6.982031,6.952304,6.911543,6.873024,6.832620,6.797359,6.760858,6.737069,6.717528,6.696477,6.678639,6.661487,6.645556,6.628232,6.611613,6.593501,6.574205,6.558553,6.537455,6.490175,6.472717,6.444014,6.418589,6.394752,6.373248,6.353264,6.330305,6.313067,6.295478,6.281846,6.267044,6.259536,6.256790,6.252928,6.249113,6.243703,6.236219,6.227473,6.217341,6.210923,6.193355,6.191983,6.192378,6.182825,6.174042,6.166343,6.156967,6.141276,6.138410,6.111299,6.091373,6.075101,6.059709,6.036085,5.992705,5.954114,5.920202,5.887520,5.836159,5.803687,5.745043,5.710020,25.143794,26.724402,0
20250723,18.173889,2025-07-23T18:10:46,44.032275,10.036429,0.000000,0.000000,26.116300,26.788000,0.543500,0.763257,0.767779,0.757818,0.753815,0.741214,0.727741,0.711444,0.697720,0.683478,0.665844,0.651851,0.639329,0.629593,0.618001,0.609004,0.599052,0.590104,0.579937,0.571366,0.562805,0.552749,0.545466,0.537618,0.529404,0.521782,0.514487,0.507904,0.500146,0.492562,0.485637,0.478987,0.472514,0.465616,0.459840,0.453341,0.447955,0.441749,0.436553,0.431902,0.425743,0.421571,0.416596,0.411719,0.407540,0.403242,0.398848,0.394587,0.390365,0.386238,0.383588,0.380286,0.376232,0.372231,0.368332,0.365074,0.360383,0.357005,0.353301,0.348930,0.346135,0.342370,0.339215,0.336654,0.333730,0.331833,0.329078,0.323536,0.320969,0.317440,0.313134,0.312367,0.306873,0.303473,0.302618,0.297937,0.299017,0.294315,0.295510,0.297660,0.296035,0.293876,0.299955,0.300049,0.310380,0.308454,7.360668,7.465360,7.584449,7.681403,7.782765,7.845891,7.820150,7.714809,7.554049,7.383614,7.260154,7.209871,7.182077,7.180209,7.180684,7.185184,7.174572,7.156965,7.139446,7.112384,7.081103,7.052718,7.016697,6.982031,6.952304,6.911543,6.873024,6.832620,6.797359,6.760858,6.737069,6.717528,6.696477,6.678639,6.661487,6.645556,6.628232,6.611613,6.593501,6.574205,6.558553,6.537455,6.490175,6.472717,6.444014,6.418589,6.394752,6.373248,6.353264,6.330305,6.313067,6.295478,6.281846,6.267044,6.259536,6.256790,6.252928,6.249113,6.243703,6.236219,6.227473,6.217341,6.210923,6.193355,6.191983,6.192378,6.182825,6.174042,6.166343,6.156967,6.141276,6.138410,6.111299,6.091373,6.075101,6.059709,6.036085,5.992705,5.954114,5.920202,5.887520,5.836159,5.803687,5.745043,5.710020,25.143794,26.724402,0
