nome,lat,lon
Acciaroli,40.16666667,15.01666667
Aci Castello,37.55,15.11666667
Acitrezza,37.55,15.15
Agropoli,40.35,14.98333333
Agugliano,43.5433456,13.3881712
Alassio,44,8.166666667
Alghero,40.5749594,8.3222015
Alicudi,38.5337934,14.3608803
Amalfi,40.633669,14.6029653
Amantea,39.11666667,16.06666667
Ancona,43.62063333,13.50299722
Andora,43.95,8.15
Anzio,41.46928,12.6172675
Arbatax,39.93333333,9.7
Arenzano,44.4,8.666666667
Arma di Taggia,43.81666667,7.85
Augusta,37.24279722,15.21371111
Avella,40.9615348,14.6083985
Avola,36.9075628,15.1258161
Bagnara Calabra,38.28333333,15.8
Bagnoli,41.0839775,14.4401169
Baia,40.8111035,14.0803193
Bari,41.13449444,16.86406667
Barletta,41.32552778,16.2904
Bellaria,44.15,12.46666667
Belvedere Marittimo,39.61666667,15.85
Bianco,38.08333333,16.13333333
Bisceglie,41.23333333,16.5
Bonagia,38.05,12.58333333
Bordighera,43.76666667,7.666666667
Bosa,40.28333333,8.483333333
Bova Marina,37.93333333,15.91666667
Brindisi,40.65058056,17.96568056
Cagliari,39.21060278,9.112075
Cala Gonone,40.3,9.633333333
Calasetta,39.1122648,8.3731876
Caldonazzo,45.9974291,11.2649955
Camogli,44.35,9.15
Cannigione,41.1070182,9.4443553
Caorle,45.6,12.88333333
Capo d'Orlando,38.16666667,14.75
Capraia,43.05120278,9.837652778
Capri,40.5488429,14.2283708
Carema,45.589293,7.853309
Cariati,39.48333333,16.95
Carloforte,39.144455,8.3078226
Casamicciola,40.7476159,13.9120494
Castel Volturno,41.03333333,13.95
Castellammare del Golfo,38.01666667,12.88333333
Castellammare di Stabia,40.69411667,14.47143611
Castelsardo,40.9,8.7
Castiglioncello,43.4,10.41666667
Castiglione della Pescaia,42.76666667,10.88333333
Castro Marina,39.98333333,18.4
Catania,37.49644444,15.09415833
Cattolica,43.95,12.73333333
Cavo,42.86024167,10.42333056
Cecina,43.3104558,10.5144531
Cefalu,38.03333333,14.01666667
Cellole,41.1960166,13.8756694
Cesenatico,44.2,12.4
Cetara,40.63333333,14.7
Cetraro,39.5,15.93333333
Chiavari,44.31666667,9.35
Chioggia,45.21312778,12.26938889
Ciro Marina,39.36666667,17.11666667
Civitanova Marche,43.334336,13.7098013
Civitavecchia commerciale,42.111364,11.764941
Civitavecchia turistico,42.09444722,11.78237778
Copanello,38.7723764,16.5619906
Coppito,42.3696701,13.3341666
Corigliano Calabro,39.66349167,16.52496944
Cortona,43.2740367,11.9876307
Crotone,39.08589722,17.12900833
Cupra Marittima,43.01666667,13.85
Diamante,39.68333333,15.81666667
Duino,45.76666667,13.58333333
Falconara,43.63968611,13.38733333
Fano,43.8428467,13.0245099
Farigliano,44.5112868,7.917267
Favignana,37.9298278,12.3019147
Filicudi Porto,38.5578401,14.5837058
Finale Ligure,44.16666667,8.333333333
Fiumicino,41.77066944,12.22566944
Foce Varano,41.91666667,15.8
Follonica,42.9266011,10.7558064
Forio,40.73333333,13.85
Formia,41.258869,13.606168
Forte dei Marmi,43.96666667,10.16666667
Francavilla al Mare,42.4212652,14.2879487
Fregene,41.85,12.2
Fusina,45.41666667,12.23333333
Gabicce Mare,43.96666667,12.76666667
Gaeta,41.22291111,13.57277222
Gallipoli,40.0575945,17.9883112
Gela,37.0728873,14.259572
Genova,44.40909722,8.917966667
Giannutri,42.2533598,11.1001413
Giardini,41.5626255,12.6673395
Gioia Tauro,38.44687778,15.901875
Giovinazzo,41.18333333,16.66666667
Giulianova Lido,42.65,13.93333333
Golfo Aranci,40.995075,9.622602778
Gorgona,43.4334195,9.8977565
Goro,44.85,12.3
Grado,45.729178,13.5410113
Imperia,43.8862958,8.0267106
Ischia,40.7268816,13.9095474
Isola del Giglio,42.353166,10.8964294
Isola delle Femmine,38.2,13.25
Jesolo,45.5069261,12.6478873
La Maddalena,41.21666667,9.383333333
La Spezia,44.10453611,9.843625
Lacco Ameno,40.75,13.9
Ladispoli,41.93333333,12.08333333
Lampedusa,35.5111342,12.5962914
Lavagna,44.3,9.35
Lerici,44.08333333,9.916666667
Lesina,41.85,15.35
Leuca,39.8,18.35
Levanto,44.16666667,9.6
Levanzo,37.9876442,12.3394991
Licata,37.1059775,13.9379998
Lignano Sabbiadoro,45.66666667,13.1
Linosa,35.8651569,12.8675259
Lipari,38.47066,14.9545086
Livorno,43.56095,10.30141389
Loano,44.13333333,8.25
Maiolati Spontini,43.4747553,13.0764203
Maiori,40.65,14.63333333
Manfredonia,41.62503333,15.91781389
Marano Lagunare,45.75,13.16666667
Maratea,39.98333333,15.71666667
Marciana Marina,42.8,10.18333333
Marettimo,37.9680936,12.0745869
Marghera,45.45,12.21666667
Margherita di Savoia,41.36666667,16.13333333
Marina Grande,40.55,14.25
Marina della Lobra,40.6,14.33333333
Marina di Camerota,40,15.36666667
Marina di Campo,42.73333333,10.55
Marina di Carrara,44.03334167,10.04024722
Marina di Davoli,38.663803,16.5442413
Marina di Ginosa,40.41666667,16.88333333
Marina di Grosseto,42.71666667,10.96666667
Marina di Massa,44,10.1
Marina di Monasterace,38.43333333,16.56666667
Marina di Pisa,43.66666667,10.26666667
Marina di Pisciotta,40.11666667,15.23333333
Marinella di Selinunte,37.58333333,12.78333333
Marotta,43.76666667,13.13333333
Marsala,37.8,12.43333333
Martinsicuro,42.8861324,13.9040577
Massa,44.0226485,10.1012494
Mazara del Vallo,37.6525881,12.5945685
Melito di Porto Salvo,37.916705,15.7814603
Messina,38.18920278,15.56091389
Milazzo,38.21647222,15.24288333
Mili Marina,38.11666667,15.51666667
Misano Adriatico,43.96666667,12.7
Mola di Bari,41.05,17.08333333
Molfetta,41.196119,16.596914
Mondello,38.2,13.33333333
Mondragone,41.11666667,13.9
Monfalcone,45.788976,13.536257
Monopoli,40.95542222,17.30303056
Montalto di Castro,42.35,11.6
Montechiaro d Asti,44.9998496,8.1098313
Montefiorino,44.3594977,10.6253574
Montefollonico,43.129155,11.7356936
Monterosso al Mare,44.15,9.65
Muggia,45.6,13.76666667
Multedo,44.4185662,8.8249002
Napoli,40.83977222,14.27628056
Nettuno,41.46666667,12.68333333
Noli,44.2,8.416666667
Noto,36.88333333,15.06666667
Nova Siri,40.1303037,16.6440875
Numana,43.5,13.61666667
Ognina,36.98333333,15.25
Olbia,40.92358611,9.519297222
Oneglia,43.8999974,8.039245
Orbetello,42.43333333,11.21666667
Oristano,39.86258333,8.551905556
Ortona,42.35135833,14.411925
Ospedaletti,43.7999833,7.7205824
Ostia,41.75,12.3
Otranto,40.1495741,18.481045
Ozegna,45.3508797,7.7463016
Pago Veiano,41.2454508,14.8749226
Palau,41.1800522,9.3786858
Palermo,38.12856667,13.36727222
Palinuro,40.05,15.28333333
Palmi,38.39046111,15.86198889
Panarea,38.6366367,15.0774122
Pantelleria,36.7868623,11.9998754
Paola,39.38333333,16.03333333
Patti,38.1386889,14.9658325
Pedaso,43.1,13.83333333
Pesaro,43.92291667,12.90525556
Pescara,42.46910278,14.23171944
Peschici,41.9281352,16.0128269
Piano di Sorrento,40.63333333,14.41666667
Pianosa,42.56666667,10.06666667
Piombino,42.93421389,10.54470278
Pizzo,38.73333333,16.15
Policoro,40.21666667,16.68333333
Polignano a Mare,40.9909552,17.218705
Pomaro Monferrato,45.0638839,8.5951087
Ponza,40.9063305,12.9522144
Porticello,38.08333333,13.53333333
Portici,40.8207068,14.3519363
Porto Azzurro,42.7662775,10.395103
Porto Cervo,41.1347167,9.5326587
Porto Conte,40.58333333,8.2
Porto Empedocle,37.28439167,13.52801389
Porto Ercole,42.4,11.2
Porto Garibaldi,44.6817628,12.2349907
Porto Levante,45.03333333,12.35
Porto Maurizio,43.8803425,8.0191081
Porto Nogaro,45.8051999,13.2195162
Porto Palo,37.58333333,12.91666667
Porto Recanati,43.43333333,13.66666667
Porto San Giorgio,43.18333333,13.78333333
Porto Santo Stefano,42.4389362,11.1189842
Porto Tolle,44.95,12.33333333
Porto Torres,40.84021667,8.399763889
Porto Venere,44.05,9.833333333
Porto Viro,45.01666667,12.21666667
Portoferraio,42.81265833,10.32453333
Portofino,44.3041819,9.2076929
Portopalo,36.68333333,15.13333333
Portoscuso (Porto Vesme),39.19747778,8.389933333
Positano,40.6278421,14.4851782
Pozzallo,36.7335293,14.8472312
Pozzillo,37.65,15.18333333
Pozzuoli,40.829194,14.1179178
Praia a Mare,39.9,15.78333333
Priolo Gargallo,37.15,15.18333333
Procida,40.7549208,14.0134229
Rapallo,44.35,9.233333333
Ravenna,44.45668611,12.24863611
Recco,44.35,9.133333333
Reggio Calabria,38.12284167,15.65018333
Riccione,44,12.65
Rimini,44.0593886,12.5684371
Rinella,38.5467171,14.8287662
Rio Marina,42.81534444,10.42976389
Riomaggiore,44.1,9.733333333
Riposto,37.7267201,15.20452
Riva Trigoso,44.25,9.416666667
Roccella Ionica,38.31666667,16.4
Rodi Garganico,41.9290911,15.8906017
Roma,41.8933203,12.4829321
Roseto Degli Abbruzzi,42.68333333,14.01666667
Rosignano Solvay,43.4034758,10.4468738
Salerno,40.67406667,14.74646111
Saline,37.95,15.7
Sammichele,40.893112,16.949813
San Benedetto Del Tronto,42.956425,13.88863611
San Cataldo,40.38333333,18.3
San Felice Circeo,41.23333333,13.08333333
San Giuseppe,45.404696,11.8592125
San Pietro,40.7606307,14.534329
San Remo,-11.9928778,-77.1081054
San Rocco di Guastalla,44.872198,10.6565341
San Vito lo Capo,38.1754847,12.7337543
Sant Angelo in Vado,43.6649996,12.4116647
Sant' Antioco,39.06666667,8.45
Sant'Agata di Militello,38.06666667,14.63333333
Santa Foca di Melendugno,40.26666667,18.33333333
Santa Margherita Ligure,44.3336302,9.2146023
Santa Maria Navarrese,39.98333333,9.683333333
Santa Maria di Castellabate,40.28333333,14.95
Santa Marina Salina,38.56666667,14.86666667
Santa Marinella,42.03333333,11.83333333
Santa Panagia,37.1,15.25
Santa Teresa di Gallura,41.23692778,9.194494444
Santo Stefano al Mare,43.83333333,7.883333333
Santo Stefano di Camastra,38.01666667,14.35
Sapri,40.05,15.61666667
Sarroch (Porto Foxi),39.08951667,9.027575
Savelletri,40.86666667,17.4
Savona,44.31015278,8.490463889
Scalea,39.8,15.78333333
Scario,40.05,15.48333333
Scauri,41.25,13.7
Sciacca,37.5,13.06666667
Scilla,38.25,15.71666667
Scoglitti,36.8928164,14.4312769
Senato Lerici,44.09286,9.9514097
Senigallia,43.71666667,13.21666667
Sestri Levante,44.26666667,9.383333333
Sferracavallo,38.2,13.23333333
Silvi Marina,42.56666667,14.1
Siracusa,37.0646139,15.2907196
Solopaca,41.2105535,14.5713765
Sorrento,40.6258533,14.3797876
Soverato,38.68333333,16.53333333
Sperlonga,41.25,13.41666667
Spotorno,44.21666667,8.416666667
Stintino,40.93333333,8.216666667
Stromboli,38.8001412,15.2386096
Talamone,42.5542364,11.1349216
Taranto,40.47588333,17.21341944
Termini Imerese,37.98597222,13.70495278
Termoli,42.0006525,14.9927098
Terracina,41.2977011,13.2417461
Terrasini,38.15,13.08333333
Tirrenia,43.6389561,10.2892021
Torre Annunziata,40.7571271,14.4724974
Torre Cesarea,40.03333333,18.45
Torre Faro,38.25,15.63333333
Torre Gaveta,40.81666667,14.03333333
Torre San Giovanni,39.88333333,18.11666667
Torre del Greco,40.7875387,14.3632124
Torregrande,39.9085852,8.5188447
Tortoreto Lido,42.8,13.86666667
Torvaianica,41.61666667,12.45
Trani,41.2727951,16.4177905
Trapani,38.01135,12.51812778
Trebisacce,39.86666667,16.51666667
Tremestieri,38.13190278,15.523875
Tremiti,42.1148003,15.4871239
Trieste,45.63383056,13.76175556
Tropea,38.68333333,15.9
Tufo,41.0138635,14.8159526
Ustica,38.7057973,13.1766851
Vada,43.3526139,10.4701861
Vado Ligure,44.26563611,8.445361111
Varazze,44.36666667,8.566666667
Vasto,42.0799481,14.7394525
Venezia,45.43721111,12.31070833
Ventimiglia,43.7926874,7.6098824
Ventotene,40.7990254,13.4331349
Vernazza,44.13333333,9.683333333
Viareggio,43.8738925,10.2526248
Vibo Valentia,38.71667222,16.126775
Vieste,41.8829357,16.1770702
Villa San Giovanni,38.21813889,15.63329444
Voltri,44.428369,8.7586939
Vulcano porto,38.4153341,14.958267
Zaule,45.6054273,13.8068115
